,invoice_no,category,item,quantity,price,location_id,customer_id,invoice_date,payment_id,date_key,day_of_week,month,year,quarter,is_holiday,first_name,last_name,gender,age,dob,email,phone_number,is_churned,days_since_last_purchase,tenure,discount_used,last_purchase_date,purchase_frequency,avg_purchase_value,shopping_mall,city,province_state,country,payment_method,card_type,Unnamed: 3
0,100000,Hair Care,Hair Oil,1,17.45,1,398,2023-03-22,2,2023-03-22,Wednesday,March,2023,2023Q1,0,Tiffany,Thomas,Female,25.0,1999-07-13,michealbender@gmail.com,(309)938-3205x8088,1.0,1056.0,8.0,0.0,2021-08-15,30.0,280.82,Mall of America,Bloomington,Minnesota,US,Credit Card - MasterCard,MasterCard,
1,100001,Body Care and Hygiene,Deodorant,4,20.81,21,938,2024-04-06,9,2024-04-06,Saturday,April,2024,2024Q2,1,Angela,Wolf,Male,30.0,1995-01-18,nicholasclark@flowers.net,(363)377-7602,1.0,1494.0,1.0,0.0,2020-01-19,30.0,52.4,Fashion Show Mall,Las Vegas,Nevada,US,Apple Pay,,
2,100002,Skin Care,Face Wash,4,40.96,17,258,2022-05-31,10,2022-05-31,Tuesday,May,2022,2022Q2,0,Jonathan,Russell,Female,22.0,2002-10-11,geraldcastro@mosley.com,661-041-4070x466,0.0,386.0,6.0,1.0,2021-04-06,42.0,165.9,Lakeside Shopping Centre,Thurrock,Essex,UK,Google Pay,,
3,100003,Body Care and Hygiene,Body Lotion,2,27.5,9,892,2021-01-01,10,2021-01-01,Friday,January,2021,2021Q1,0,Nicholas,Smith,Other,32.0,1992-12-29,vguerrero@green.org,712-518-4596x428,0.0,482.0,3.0,1.0,2022-05-17,28.0,427.81,Bullring & Grand Central,Birmingham,West Midlands,UK,Google Pay,,
4,100004,Oral Care,Toothpaste,1,16.43,55,978,2020-02-10,7,2020-02-10,Monday,February,2020,2020Q1,0,Tara,Adams,Other,35.0,1989-08-17,qfloyd@gmail.com,249-201-6223,0.0,1309.0,2.0,1.0,2023-01-28,31.0,321.2,The Galleria at Fort Lauderdale,Fort Lauderdale,Florida,US,Cash,,
5,100005,Body Care and Hygiene,Hand Sanitizer,2,10.48,31,426,2024-04-07,1,2024-04-07,Sunday,April,2024,2024Q2,1,Jamie,Gray,Other,29.0,1996-02-02,jose27@boyd.com,+1-926-175-3926x893,0.0,1516.0,7.0,0.0,2022-08-30,6.0,467.49,Cherry Creek Shopping Center,Denver,Colorado,US,Credit Card - Visa,Visa,
6,100006,Skin Care,Moisturizer,3,43.91,52,509,2021-03-05,5,2021-03-05,Friday,March,2021,2021Q1,0,Katherine,Anderson,Male,37.0,1988-01-09,uphillips@west.org,047.456.8179,1.0,593.0,4.0,1.0,2023-11-19,25.0,252.29,Pheasant Lane Mall,Nashua,New Hampshire,US,Debit Card - MasterCard,MasterCard,
7,100007,Skin Care,Face Wash,4,10.75,58,242,2023-04-01,7,2023-04-01,Saturday,April,2023,2023Q2,1,Lawrence,Nixon,Other,58.0,1966-10-12,lmoreno@hotmail.com,(157)403-1633,1.0,1693.0,9.0,1.0,2023-12-16,11.0,285.01,Town Center at Boca Raton,Boca Raton,Florida,US,Cash,,
8,100008,Body Care and Hygiene,Body Lotion,3,20.2,15,276,2022-04-03,4,2022-04-03,Sunday,April,2022,2022Q2,1,Andrew,Valdez,Other,63.0,1961-12-31,joseph16@beard.com,985-278-0055,1.0,782.0,2.0,1.0,2022-03-16,26.0,352.41,Meadowhall,Sheffield,South Yorkshire,UK,Debit Card - Visa,Visa,
9,100009,Hair Care,Shampoo,4,5.46,17,568,2023-05-14,5,2023-05-14,Sunday,May,2023,2023Q2,1,Connie,Mathis,Male,37.0,1987-10-23,kstrickland@yahoo.com,001-861-794-7359,1.0,389.0,6.0,0.0,2021-01-31,49.0,484.24,Lakeside Shopping Centre,Thurrock,Essex,UK,Debit Card - MasterCard,MasterCard,
10,100010,Body Care and Hygiene,Hand Sanitizer,4,21.72,52,233,2020-12-21,1,2020-12-21,Monday,December,2020,2020Q4,0,Jonathan,Gray,Female,32.0,1992-04-01,iwells@yahoo.com,(980)033-6097x04524,0.0,636.0,6.0,0.0,2023-09-14,44.0,30.76,Pheasant Lane Mall,Nashua,New Hampshire,US,Credit Card - Visa,Visa,
